scientific name,sort v2021
Chrysuronia leucogaster bahiae,5036.0
Leucochloris albicollis,5037.0
Chionomesa fimbriata,5038.0
Chionomesa fimbriata elegantissima,5039.0
Chionomesa fimbriata fimbriata,5041.0
Chionomesa fimbriata apicalis,5042.0
Chionomesa fimbriata fluviatilis,5043.0
Chionomesa fimbriata laeta,5044.0
Chionomesa fimbriata nigricauda,5045.0
Chionomesa fimbriata tephrocephala,5046.0
Chionomesa lactea,5047.0
Chionomesa lactea lactea/zimmeri,5048.0
Chionomesa lactea zimmeri,5049.0
Chionomesa lactea lactea,5050.0
Chionomesa lactea bartletti,5051.0
Hylocharis sapphirina,5053.0
Hylocharis chrysura,5054.0
Elliotomyia chionogaster,5055.0
Elliotomyia chionogaster chionogaster,5056.0
Elliotomyia chionogaster hypoleuca,5057.0
Elliotomyia viridicauda,5058.0
Polyerata rosenbergi,5060.0
Polyerata amabilis,5061.0
Polyerata decora,5062.0
Chlorestes candida,5063.0
Chlorestes candida genini,5064.0
Chlorestes candida pacifica,5065.0
Chlorestes candida candida,5066.0
Chlorestes eliciae,5067.0
Chlorestes eliciae eliciae,5068.0
Chlorestes eliciae earina,5069.0
Chlorestes cyanus,5070.0
Chlorestes cyanus viridiventris,5071.0
Chlorestes cyanus rostrata,5072.0
Chlorestes cyanus conversa,5073.0
Chlorestes cyanus cyanus,5074.0
Chlorestes cyanus griseiventris,5075.0
Chlorestes julie,5076.0
Chlorestes julie panamensis,5077.0
Chlorestes julie julie,5078.0
Chlorestes julie feliciana,5079.0
Chlorestes notata,5080.0
Chlorestes notata notata,5081.0
Chlorestes notata puruensis,5082.0
Chlorestes notata obsoleta,5083.0
Opisthocomus hoazin,5086.0
Mentocrex kioloides,5087.0
Mentocrex kioloides kioloides,5088.0
Mentocrex kioloides berliozi,5089.0
Mentocrex beankaensis,5090.0
Sarothrura pulchra,5091.0
Sarothrura pulchra [pulchra Group],5092.0
Sarothrura pulchra pulchra,5093.0
Sarothrura pulchra zenkeri,5094.0
Sarothrura pulchra batesi,5095.0
Sarothrura pulchra centralis,5096.0
Sarothrura elegans,5097.0
Sarothrura elegans reichenovi,5098.0
Sarothrura elegans elegans,5099.0
Sarothrura rufa,5100.0
Sarothrura rufa bonapartii,5101.0
Sarothrura rufa elizabethae,5102.0
Sarothrura rufa rufa,5103.0
Sarothrura lugens,5104.0
Sarothrura lugens lugens,5105.0
Sarothrura lugens lynesi,5106.0
Sarothrura boehmi,5107.0
Sarothrura affinis,5108.0
Sarothrura affinis antonii,5109.0
Sarothrura affinis affinis,5110.0
Sarothrura insularis,5111.0
Sarothrura ayresi,5112.0
Sarothrura watersi,5113.0
Rallus obsoletus,5115.0
Rallus obsoletus obsoletus,5116.0
Rallus obsoletus levipes,5117.0
Rallus obsoletus beldingi,5118.0
Rallus obsoletus yumanensis,5119.0
Rallus tenuirostris,5120.0
Rallus longirostris,5121.0
Rallus longirostris berryorum,5122.0
Rallus longirostris cypereti,5123.0
Rallus longirostris [longirostris Group],5124.0
Rallus longirostris phelpsi,5125.0
Rallus longirostris dillonripleyi,5125.5
Rallus longirostris margaritae,5126.0
Rallus longirostris pelodramus,5127.0
Rallus longirostris longirostris,5128.0
Rallus longirostris crassirostris,5129.0
Rallus elegans,5130.0
Rallus elegans elegans,5131.0
Rallus elegans ramsdeni,5132.0
Rallus crepitans,5134.0
Rallus crepitans crepitans/waynei,5135.0
Rallus crepitans crepitans,5136.0
Rallus crepitans waynei,5137.0
Rallus crepitans saturatus/scottii,5138.0
Rallus crepitans saturatus,5139.0
Rallus crepitans scottii,5140.0
Rallus crepitans [caribaeus Group],5141.0
Rallus crepitans insularum,5142.0
Rallus crepitans coryi,5143.0
Rallus crepitans leucophaeus,5144.0
Rallus crepitans caribaeus,5145.0
Rallus crepitans [pallidus Group],5146.0
Rallus crepitans pallidus,5147.0
Rallus crepitans grossi,5148.0
Rallus crepitans belizensis,5149.0
Rallus wetmorei,5154.0
Rallus limicola,5155.0
Rallus limicola limicola/friedmanni,5156.0
Rallus limicola limicola,5157.0
Rallus limicola friedmanni,5158.0
Rallus limicola aequatorialis/meyerdeschauenseei,5159.0
Rallus limicola aequatorialis,
Rallus limicola meyerdeschauenseei,
Rallus semiplumbeus,5161.0
Rallus semiplumbeus semiplumbeus,5162.0
Rallus semiplumbeus peruvianus,5163.0
Rallus antarcticus,5164.0
Rallus aquaticus,5165.0
Rallus aquaticus hibernans,5166.0
Rallus aquaticus aquaticus,5167.0
Rallus aquaticus korejewi,5168.0
Rallus indicus,5169.0
Rallus caerulescens,5171.0
Rallus madagascariensis,5172.0
Dryolimnas cuvieri,5174.0
Dryolimnas cuvieri cuvieri,5175.0
Dryolimnas cuvieri abbotti,5176.0
Dryolimnas cuvieri aldabranus,5177.0
Dryolimnas augusti,5178.0
Aphanapteryx bonasia,5179.0
Erythromachus leguati,5180.0
Crex crex,5181.0
Crex egregia,5182.0
Rougetius rougetii,5183.0
Atlantisia rogersi,5184.0
Atlantisia podarces,5185.0
Mundia elpenor,5186.0
Aramidopsis plateni,5187.0
Lewinia striata,5188.0
Lewinia striata albiventer,5189.0
Lewinia striata obscurior,5190.0
Lewinia striata jouyi,5191.0
Lewinia striata taiwana,5192.0
Lewinia striata gularis,5193.0
Lewinia striata striata,5194.0
Lewinia striata paraterma,5195.0
Lewinia mirifica,5196.0
Lewinia pectoralis,5197.0
Lewinia pectoralis exsul,5198.0
Lewinia pectoralis mayri,5199.0
Lewinia pectoralis capta,5200.0
Lewinia pectoralis insulsa,5201.0
Lewinia pectoralis alberti,5202.0
Lewinia pectoralis clelandi,5203.0
Lewinia pectoralis pectoralis,5204.0
Lewinia pectoralis brachipus,5205.0
Lewinia muelleri,5206.0
Gymnocrex rosenbergii,5207.0
Gymnocrex plumbeiventris,5208.0
Gymnocrex plumbeiventris plumbeiventris,5209.0
Gymnocrex plumbeiventris hoeveni,5210.0
Gymnocrex talaudensis,5211.0
Diaphorapteryx hawkinsi,5212.0
Gallirallus calayanensis,5213.0
Gallirallus wallacii,5214.0
Gallirallus castaneoventris,5215.0
Gallirallus castaneoventris sharpei,5216.0
Gallirallus castaneoventris castaneoventris,5217.0
Gallirallus australis,5218.0
Gallirallus australis greyi,5219.0
Gallirallus australis australis,5220.0
Gallirallus australis hectori,5221.0
Gallirallus australis scotti,5222.0
Gallirallus lafresnayanus,5223.0
Gallirallus sylvestris,5224.0
Gallirallus okinawae,5225.0
Gallirallus pacificus,5226.0
Gallirallus philippensis,5227.0
Gallirallus philippensis andrewsi,5228.0
Gallirallus philippensis philippensis,5229.0
Gallirallus philippensis pelewensis,5230.0
Gallirallus philippensis xerophilus,5231.0
Gallirallus philippensis wilkinsoni,5232.0
Gallirallus philippensis lacustris,5233.0
Gallirallus philippensis reductus,5234.0
Gallirallus philippensis anachoretae,5235.0
Gallirallus philippensis admiralitatis,5236.0
Gallirallus philippensis praedo,5237.0
Gallirallus philippensis lesouefi,5238.0
Gallirallus philippensis meyeri,5239.0
Gallirallus philippensis christophori,5240.0
Gallirallus philippensis mellori,5241.0
Gallirallus philippensis assimilis,5242.0
Gallirallus philippensis tounelieri,5243.0
Gallirallus philippensis swindellsi,5244.0
Gallirallus philippensis sethsmithi,5245.0
Gallirallus philippensis ecaudatus,5246.0
Gallirallus philippensis goodsoni,5247.0
Gallirallus philippensis macquariensis,5248.0
Gallirallus modestus,5249.0
Gallirallus dieffenbachii,5250.0
Gallirallus insignis,5251.0
Gallirallus woodfordi,5252.0
Gallirallus woodfordi tertius,5253.0
Gallirallus woodfordi immaculatus,5254.0
Gallirallus woodfordi woodfordi,5255.0
Gallirallus poecilopterus,5256.0
Gallirallus owstoni,5257.0
Gallirallus wakensis,5258.0
Gallirallus torquatus,5259.0
Gallirallus torquatus torquatus,5260.0
Gallirallus torquatus celebensis,5261.0
Gallirallus torquatus sulcirostris,5262.0
Gallirallus torquatus kuehni,5263.0
Gallirallus torquatus limarius,5264.0
Gallirallus rovianae,5265.0
Canirallus oculeus,5266.0
Mustelirallus albicollis,5267.0
Mustelirallus albicollis typhoeca,5268.0
Mustelirallus albicollis albicollis,5269.0
Mustelirallus colombianus,5270.0
Mustelirallus colombianus ripleyi,5271.0
Mustelirallus colombianus colombianus,5272.0
Mustelirallus erythrops,5273.0
Mustelirallus erythrops olivascens,5274.0
Mustelirallus erythrops erythrops,5275.0
Cyanolimnas cerverai,5276.0
Pardirallus maculatus,5277.0
Pardirallus maculatus insolitus,5278.0
Pardirallus maculatus maculatus,5279.0
Pardirallus nigricans,5280.0
Pardirallus nigricans caucae,5281.0
Pardirallus nigricans nigricans,5282.0
Pardirallus sanguinolentus,5283.0
Pardirallus sanguinolentus simonsi,5284.0
Pardirallus sanguinolentus tschudii,5285.0
Pardirallus sanguinolentus zelebori,5286.0
Pardirallus sanguinolentus sanguinolentus,5287.0
Pardirallus sanguinolentus landbecki,5288.0
Pardirallus sanguinolentus luridus,5289.0
Amaurolimnas concolor,5290.0
Amaurolimnas concolor concolor,5291.0
Amaurolimnas concolor guatemalensis,5292.0
Amaurolimnas concolor castaneus,5293.0
Aramides ypecaha,5294.0
Aramides wolfi,5295.0
Aramides mangle,5296.0
Aramides axillaris,5297.0
Aramides albiventris,5298.0
Aramides cajaneus,5299.0
Aramides cajaneus cajaneus,5300.0
Aramides cajaneus avicenniae,5301.0
Aramides calopterus,5303.0
Aramides saracura,5304.0
Tribonyx ventralis,5306.0
Tribonyx hodgenorum,5307.0
Tribonyx mortierii,5308.0
Porphyriops melanops,5309.0
Porphyriops melanops bogotensis,5310.0
Porphyriops melanops melanops,5311.0
Porphyriops melanops crassirostris,5312.0
Porzana carolina,5313.0
Porzana porzana,5314.0
Porzana fluminea,5315.0
Porzana spiloptera,5316.0
Paragallinula angulata,5317.0
Gallinula silvestris,5318.0
Gallinula nesiotis,5319.0
Gallinula comeri,5320.0
Gallinula chloropus,5321.0
Gallinula chloropus chloropus,5322.0
Gallinula chloropus meridionalis,5323.0
Gallinula chloropus pyrrhorrhoa,5324.0
Gallinula chloropus orientalis,5325.0
Gallinula chloropus guami,5326.0
Gallinula galeata,5327.0
Gallinula galeata [galeata Group],5328.0
Gallinula galeata cachinnans,5329.0
Gallinula galeata cerceris,5330.0
Gallinula galeata barbadensis,5331.0
Gallinula galeata pauxilla,5332.0
Gallinula galeata galeata,5333.0
Gallinula galeata garmani,5334.0
Gallinula galeata sandvicensis,5335.0
Gallinula tenebrosa,5337.0
Gallinula tenebrosa frontata,5338.0
Gallinula tenebrosa neumanni,5339.0
Gallinula tenebrosa tenebrosa,5340.0
Gallinula pacifica,5341.0
Fulica rufifrons,5342.0
Fulica cornuta,5343.0
Fulica gigantea,5344.0
Fulica armillata,5345.0
Fulica atra,5346.0
Fulica atra atra,5347.0
Fulica atra lugubris,5348.0
Fulica atra novaeguineae,5349.0
Fulica atra australis,5350.0
Fulica newtonii,5352.0
Fulica cristata,5353.0
Fulica alai,5356.0
Fulica americana,5359.0
Fulica americana americana,5360.0
Fulica americana columbiana,5361.0
Fulica ardesiaca,5365.0
Fulica ardesiaca atrura,5365.1
Fulica ardesiaca ardesiaca,5365.2
Fulica leucoptera,5369.0
Porphyrio alleni,5371.0
Porphyrio martinica,5372.0
Porphyrio flavirostris,5373.0
Porphyrio paepae,5374.0
Porphyrio kukwiedei,5375.0
Porphyrio caerulescens,5376.0
Porphyrio porphyrio,5377.0
Porphyrio indicus,5378.0
Porphyrio madagascariensis,5379.0
Porphyrio hochstetteri,5380.0
Porphyrio mantelli,5381.0
Porphyrio melanotus,5382.0
Porphyrio melanotus pelewensis,5383.0
Porphyrio melanotus melanopterus,5384.0
Porphyrio melanotus bellus,5385.0
Porphyrio melanotus melanotus,5386.0
Porphyrio melanotus samoensis,5387.0
Porphyrio pulverulentus,5388.0
Porphyrio albus,5389.0
Porphyrio poliocephalus,5390.0
Porphyrio poliocephalus caspius,5391.0
Porphyrio poliocephalus seistanicus,5392.0
Porphyrio poliocephalus poliocephalus,5393.0
Porphyrio poliocephalus viridis,5394.0
Himantornis haematopus,5399.0
Poliolimnas cinereus,5400.0
Megacrex inepta,5401.0
Megacrex inepta pallida,5402.0
Megacrex inepta inepta,5403.0
Gallicrex cinerea,5404.0
Amaurornis isabellina,5405.0
Amaurornis olivacea,5406.0
Amaurornis phoenicurus,5407.0
Amaurornis phoenicurus phoenicurus,5408.0
Amaurornis phoenicurus insularis,5409.0
Amaurornis phoenicurus midnicobarica,5410.0
Amaurornis phoenicurus leucomelana,5411.0
Amaurornis magnirostris,5412.0
Amaurornis moluccana,5413.0
Amaurornis moluccana moluccana,5414.0
Amaurornis moluccana nigrifrons,5415.0
Amaurornis moluccana ultima,5416.0
Amaurornis moluccana ruficrissa,5417.0
Amaurornis marginalis,5418.0
Rallina rubra,5419.0
Rallina rubra rubra,5420.0
Rallina rubra klossi,5421.0
Rallina rubra telefolminensis,5422.0
Rallina leucospila,5423.0
Rallina forbesi,5424.0
Rallina forbesi steini,5425.0
Rallina forbesi parva,5426.0
Rallina forbesi dryas,5427.0
Rallina forbesi forbesi,5428.0
Rallina mayri,5429.0
Rallina mayri mayri,5430.0
Rallina mayri carmichaeli,5431.0
Rallina tricolor,5432.0
Rallina canningi,5433.0
Rallina fasciata,5435.0
Rallina eurizonoides,5436.0
Rallina eurizonoides amauroptera,5437.0
Rallina eurizonoides telmatophila,5438.0
Rallina eurizonoides sepiaria,5439.0
Rallina eurizonoides formosana,5440.0
Rallina eurizonoides eurizonoides,5441.0
Rallina eurizonoides alvarezi,5442.0
Rallina eurizonoides minahasa,5443.0
Zapornia fusca,5445.0
Zapornia fusca fusca,5446.0
Zapornia fusca zeylonica,5447.0
Zapornia fusca erythrothorax,5448.0
Zapornia fusca phaeopyga,5449.0
Zapornia paykullii,5450.0
Zapornia akool,5451.0
Zapornia akool akool,5452.0
Zapornia akool coccineipes,5453.0
Zapornia flavirostra,5454.0
Zapornia parva,5455.0
Zapornia pusilla,5456.0
Zapornia pusilla intermedia,5457.0
Zapornia pusilla pusilla,5458.0
Zapornia pusilla [palustris Group],5459.0
Zapornia pusilla mira,5460.0
Zapornia pusilla mayri,5461.0
Zapornia pusilla palustris,5462.0
Zapornia pusilla affinis,5463.0
Zapornia astrictocarpus,5466.0
Zapornia palmeri,5467.0
Zapornia olivieri,5468.0
Zapornia bicolor,5469.0
Zapornia sandwichensis,5470.0
Zapornia nigra,5471.0
Zapornia atra,5472.0
Zapornia tabuensis,5473.0
Zapornia tabuensis tabuensis,5474.0
Zapornia tabuensis edwardi,5475.0
Zapornia tabuensis richardsoni,5476.0
Zapornia tabuensis plumbea,5477.0
Zapornia monasa,5478.0
Micropygia schomburgkii,5480.0
Micropygia schomburgkii schomburgkii,5481.0
Micropygia schomburgkii chapmani,5482.0
Anurolimnas castaneiceps,5483.0
Anurolimnas castaneiceps coccineipes,5484.0
Anurolimnas castaneiceps castaneiceps,5485.0
Anurolimnas viridis,5486.0
Anurolimnas viridis brunnescens,5487.0
Anurolimnas viridis viridis,5488.0
Anurolimnas fasciatus,5489.0
Coturnicops exquisitus,5490.0
Coturnicops noveboracensis,5491.0
Coturnicops noveboracensis noveboracensis,5492.0
Coturnicops noveboracensis goldmani,5493.0
Coturnicops notatus,5494.0
Hapalocrex flaviventer,5495.0
Hapalocrex flaviventer gossii,5496.0
Hapalocrex flaviventer hendersoni,5497.0
Hapalocrex flaviventer woodi,5498.0
Hapalocrex flaviventer flaviventer,5499.0
Hapalocrex flaviventer bangsi,5500.0
Laterallus levraudi,5502.0
Laterallus melanophaius,5503.0
Laterallus melanophaius oenops,5504.0
Laterallus melanophaius melanophaius,5505.0
Laterallus ruber,5506.0
Laterallus albigularis,5507.0
Laterallus albigularis albigularis/cerdaleus,5508.0
Laterallus albigularis albigularis,5509.0
Laterallus albigularis cerdaleus,5510.0
Laterallus albigularis cinereiceps,5511.0
Laterallus exilis,5513.0
Laterallus spilonota,5514.0
Laterallus jamaicensis,5515.0
Laterallus jamaicensis jamaicensis/coturniculus,5516.0
Laterallus jamaicensis coturniculus,5517.0
Laterallus jamaicensis jamaicensis,5518.0
Laterallus jamaicensis salinasi/murivagans,5519.0
Laterallus jamaicensis murivagans,5520.0
Laterallus jamaicensis salinasi,5521.0
Laterallus jamaicensis tuerosi,5522.0
Laterallus leucopyrrhus,5523.0
Laterallus xenopterus,5525.0
Podica senegalensis,5527.0
Podica senegalensis senegalensis,5528.0
Podica senegalensis somereni,5529.0
Podica senegalensis camerunensis,5530.0
Podica senegalensis petersii,5531.0
Heliopais personatus,5532.0
Heliornis fulica,5533.0
Aramus guarauna,5534.0
Aramus guarauna [pictus Group],5535.0
Aramus guarauna pictus,5536.0
Aramus guarauna elucus,5537.0
Aramus guarauna dolosus,5538.0
Aramus guarauna guarauna,5539.0
Psophia crepitans,5540.0
Psophia crepitans napensis,5541.0
Psophia crepitans ochroptera,5542.0
Psophia crepitans crepitans,5543.0
Psophia leucoptera,5544.0
Psophia viridis,5545.0
Psophia viridis viridis,5546.0
Psophia viridis dextralis,5547.0
Psophia viridis interjecta,5548.0
Psophia viridis obscura,5549.0
Balearica regulorum,5551.0
Balearica regulorum gibbericeps,5552.0
Balearica regulorum regulorum,5553.0
Balearica pavonina,5554.0
Balearica pavonina pavonina,5555.0
Balearica pavonina ceciliae,5556.0
Anthropoides virgo,5557.0
Anthropoides paradiseus,5558.0
Bugeranus carunculatus,5559.0
Leucogeranus leucogeranus,5560.0
Antigone canadensis,5561.0
Antigone canadensis canadensis,5562.0
Antigone canadensis tabida/rowani,5563.0
Antigone canadensis rowani,5564.0
Antigone canadensis tabida,5565.0
Antigone canadensis pulla,5566.0
Antigone canadensis pratensis,5567.0
Antigone canadensis nesiotes,5568.0
Antigone antigone,5569.0
Antigone antigone antigone,5570.0
Antigone antigone sharpii,5571.0
Antigone antigone gillae,5572.0
Antigone rubicunda,5573.0
Antigone vipio,5575.0
Grus grus,5576.0
Grus monacha,5578.0
Grus americana,5580.0
Grus nigricollis,5582.0
Grus japonensis,5583.0
Chionis albus,5585.0
Chionis minor,5586.0
Chionis minor marionensis,5587.0
Chionis minor crozettensis,5588.0
Chionis minor minor,5589.0
Chionis minor nasicornis,5590.0
Pluvianellus socialis,5591.0
Burhinus vermiculatus,5592.0
Burhinus vermiculatus buettikoferi,5593.0
Burhinus vermiculatus vermiculatus,5594.0
Burhinus oedicnemus,5595.0
Burhinus oedicnemus distinctus,5596.0
Burhinus oedicnemus insularum,5597.0
Burhinus oedicnemus saharae,5598.0
Burhinus oedicnemus oedicnemus,5599.0
Burhinus oedicnemus harterti,5600.0
Burhinus indicus,5601.0
Burhinus senegalensis,5602.0
Burhinus capensis,5603.0
Burhinus capensis maculosus,5604.0
Burhinus capensis dodsoni,5605.0
Burhinus capensis capensis,5606.0
Burhinus capensis damarensis,5607.0
Burhinus bistriatus,5608.0
Burhinus bistriatus bistriatus,5609.0
Burhinus bistriatus dominicensis,5610.0
Burhinus bistriatus pediacus,5611.0
Burhinus bistriatus vocifer,5612.0
Burhinus superciliaris,5613.0
Burhinus grallarius,5614.0
Esacus recurvirostris,5616.0
Esacus magnirostris,5617.0
Pluvianus aegyptius,5618.0
Himantopus himantopus,5619.0
Himantopus leucocephalus,5620.0
Himantopus novaezelandiae,5623.0
Himantopus mexicanus,5626.0
Himantopus mexicanus mexicanus,5627.0
Himantopus mexicanus knudseni,5628.0
Himantopus mexicanus melanurus,5629.0
Cladorhynchus leucocephalus,5632.0
Recurvirostra avosetta,5633.0
Recurvirostra novaehollandiae,5634.0
Recurvirostra andina,5635.0
Recurvirostra americana,5636.0
Ibidorhyncha struthersii,5639.0
Haematopus ostralegus,5640.0
Haematopus ostralegus ostralegus/longipes,5641.0
Haematopus ostralegus ostralegus,5642.0
Haematopus ostralegus longipes,5643.0
Haematopus ostralegus osculans,5644.0
Haematopus longirostris,5645.0
Haematopus finschi,5646.0
Haematopus chathamensis,5647.0
Haematopus unicolor,5648.0
Haematopus fuliginosus,5650.0
Haematopus fuliginosus opthalmicus,5651.0
Haematopus fuliginosus fuliginosus,5652.0
Haematopus palliatus,5653.0
Haematopus palliatus palliatus,5654.0
Haematopus palliatus galapagensis,5655.0
Haematopus moquini,5656.0
Haematopus meadewaldoi,5657.0
Haematopus ater,5658.0
Haematopus leucopodus,5659.0
Haematopus bachmani,5660.0
Pluvialis squatarola,5664.0
Pluvialis apricaria,5665.0
Pluvialis apricaria altifrons,5666.0
Pluvialis apricaria apricaria,5667.0
Pluvialis dominica,5668.0
Pluvialis fulva,5669.0
Oreopholus ruficollis,5673.0
Oreopholus ruficollis pallidus,5674.0
Oreopholus ruficollis ruficollis,5675.0
Vanellus vanellus,5676.0
Vanellus crassirostris,5677.0
Vanellus crassirostris crassirostris,5678.0
Vanellus crassirostris leucopterus,5679.0
Vanellus armatus,5680.0
Vanellus spinosus,5681.0
Vanellus duvaucelii,5682.0
Vanellus malabaricus,5683.0
Vanellus tectus,5684.0
Vanellus tectus tectus,5685.0
Vanellus tectus latifrons,5686.0
Vanellus albiceps,5687.0
Vanellus lugubris,5689.0
Vanellus melanopterus,5690.0
Vanellus melanopterus melanopterus,5691.0
Vanellus melanopterus minor,5692.0
Vanellus coronatus,5693.0
Vanellus coronatus coronatus,5694.0
Vanellus coronatus demissus,5695.0
Vanellus senegallus,5696.0
Vanellus senegallus senegallus,5697.0
Vanellus senegallus major,5698.0
Vanellus senegallus lateralis,5699.0
Vanellus melanocephalus,5700.0
Vanellus superciliosus,5701.0
Vanellus cinereus,5702.0
Vanellus indicus,5703.0
Vanellus indicus aigneri,5704.0
Vanellus indicus indicus,5705.0
Vanellus indicus lankae,5706.0
Vanellus indicus atronuchalis,5707.0
Vanellus macropterus,5708.0
Vanellus tricolor,5709.0
Vanellus miles,5710.0
Vanellus miles miles,5711.0
Vanellus miles novaehollandiae,5712.0
Vanellus gregarius,5713.0
Vanellus leucurus,5714.0
Vanellus cayanus,5715.0
Vanellus chilensis,5716.0
Vanellus chilensis cayennensis,5717.0
Vanellus chilensis lampronotus,5718.0
Vanellus chilensis chilensis/fretensis,5719.0
Vanellus chilensis chilensis,5720.0
Vanellus chilensis fretensis,5721.0
Vanellus resplendens,5722.0
Charadrius obscurus,5724.0
Charadrius obscurus aquilonius,5725.0
Charadrius obscurus obscurus,5726.0
Charadrius mongolus,5727.0
Charadrius mongolus [atrifrons Group],5728.0
Charadrius mongolus pamirensis,5729.0
Charadrius mongolus atrifrons,5730.0
Charadrius mongolus schaeferi,5731.0
Charadrius mongolus mongolus/stegmanni,5732.0
Charadrius mongolus mongolus,5733.0
Charadrius mongolus stegmanni,5734.0
Charadrius leschenaultii,5735.0
Charadrius leschenaultii columbinus,5736.0
Charadrius leschenaultii scythicus,5737.0
Charadrius leschenaultii leschenaultii,5738.0
Charadrius asiaticus,5740.0
Charadrius collaris,5741.0
Charadrius alticola,5742.0
Charadrius falklandicus,5743.0
Charadrius bicinctus,5744.0
Charadrius bicinctus bicinctus,5745.0
Charadrius bicinctus exilis,5746.0
Charadrius pecuarius,5747.0
Charadrius ruficapillus,5748.0
Charadrius peronii,5749.0
Charadrius alexandrinus,5750.0
Charadrius alexandrinus alexandrinus/nihonensis,5751.0
Charadrius alexandrinus alexandrinus,5752.0
Charadrius alexandrinus nihonensis,5753.0
Charadrius alexandrinus seebohmi,5754.0
Charadrius dealbatus,5755.0
Charadrius nivosus,5757.0
Charadrius nivosus nivosus,5758.0
Charadrius nivosus occidentalis,5759.0
Charadrius javanicus,5761.0
Charadrius wilsonia,5762.0
Charadrius wilsonia wilsonia,5763.0
Charadrius wilsonia beldingi,5764.0
Charadrius wilsonia cinnamominus,5765.0
Charadrius wilsonia crassirostris,5766.0
Charadrius hiaticula,5767.0
Charadrius hiaticula hiaticula,5768.0
Charadrius hiaticula tundrae,5769.0
Charadrius semipalmatus,5770.0
Charadrius placidus,5772.0
Charadrius melodus,5773.0
Charadrius thoracicus,5774.0
Charadrius dubius,5775.0
Charadrius dubius curonicus,5776.0
Charadrius dubius dubius/jerdoni,5777.0
Charadrius dubius jerdoni,5778.0
Charadrius dubius dubius,5779.0
Charadrius tricollaris,5781.0
Charadrius tricollaris tricollaris,5782.0
Charadrius tricollaris bifrontatus,5783.0
Charadrius forbesi,5784.0
Charadrius marginatus,5785.0
Charadrius marginatus mechowi,5786.0
Charadrius marginatus marginatus,5787.0
Charadrius marginatus arenaceus,5788.0
Charadrius marginatus tenellus,5789.0
Charadrius pallidus,5790.0
Charadrius pallidus venustus,5791.0
Charadrius pallidus pallidus,5792.0
Charadrius vociferus,5793.0
Charadrius vociferus vociferus,5794.0
Charadrius vociferus ternominatus,5795.0
Charadrius vociferus peruvianus,5796.0
Charadrius montanus,5797.0
Charadrius veredus,5798.0
Charadrius morinellus,5799.0
Charadrius sanctaehelenae,5800.0
Charadrius modestus,5801.0
Erythrogonys cinctus,5803.0
Thinornis cucullatus,5804.0
Thinornis novaeseelandiae,5805.0
Elseyornis melanops,5806.0
Peltohyas australis,5807.0
Anarhynchus frontalis,5808.0
Phegornis mitchellii,5809.0
Pedionomus torquatus,5811.0
Attagis gayi,5812.0
Attagis gayi latreillii,5813.0
Attagis gayi simonsi,5814.0
Attagis gayi gayi,5815.0
Attagis malouinus,5816.0
Thinocorus orbignyianus,5817.0
Thinocorus orbignyianus ingae,5818.0
Thinocorus orbignyianus orbignyianus,5819.0
Thinocorus rumicivorus,5820.0
Thinocorus rumicivorus cuneicauda,5822.0
Thinocorus rumicivorus bolivianus,5823.0
Thinocorus rumicivorus rumicivorus,5824.0
Rostratula benghalensis,5825.0
Rostratula australis,5826.0
Nycticryphes semicollaris,5827.0
Microparra capensis,5828.0
Actophilornis africanus,5829.0
Actophilornis albinucha,5830.0
Irediparra gallinacea,5831.0
Irediparra gallinacea gallinacea,5832.0
Irediparra gallinacea novaeguinae,5833.0
Irediparra gallinacea novaehollandiae,5834.0
Hydrophasianus chirurgus,5835.0
Metopidius indicus,5836.0
Jacana spinosa,5837.0
Jacana spinosa gymnostoma,5838.0
Jacana spinosa spinosa,5839.0
Jacana spinosa violacea,5840.0
Jacana jacana,5841.0
Jacana jacana hypomelaena,5842.0
Jacana jacana [jacana Group],5843.0
Jacana jacana melanopygia,5844.0
Jacana jacana jacana,5845.0
Jacana jacana intermedia,5846.0
Jacana jacana scapularis,5847.0
Jacana jacana peruviana,5848.0
Bartramia longicauda,5852.0
Numenius tahitiensis,5853.0
Numenius phaeopus,5854.0
Numenius phaeopus hudsonicus,5861.0
Numenius phaeopus phaeopus,5856.0
Numenius phaeopus alboaxillaris,5857.0
Numenius phaeopus variegatus/rogachevae,5858.0
Numenius phaeopus rogachevae,5859.0
Numenius phaeopus variegatus,5860.0
Numenius minutus,5862.0
Numenius borealis,5863.0
Numenius americanus,5864.0
Numenius americanus parvus,5865.0
Numenius americanus americanus,5866.0
Numenius madagascariensis,5867.0
Numenius tenuirostris,5868.0
Numenius arquata,5869.0
Numenius arquata arquata,5870.0
Numenius arquata suschkini,
Numenius arquata orientalis,5871.0
Limosa lapponica,5875.0
Limosa lapponica [lapponica Group],5876.0
Limosa lapponica lapponica,
Limosa lapponica yamalensis,
Limosa lapponica taymyrensis,
Limosa lapponica [baueri Group],5877.0
Limosa lapponica menzbieri,5878.0
Limosa lapponica anadyrensis,
Limosa lapponica baueri,5879.0
Limosa limosa,5880.0
Limosa limosa islandica,5881.0
Limosa limosa limosa,5882.0
Limosa limosa melanuroides,5883.0
Limosa limosa bohaii,
Limosa haemastica,5885.0
Limosa fedoa,5886.0
Limosa fedoa beringiae,5887.0
Limosa fedoa fedoa,5888.0
Arenaria interpres,5891.0
Arenaria interpres interpres,5892.0
Arenaria interpres morinella,5893.0
