Species,Korean name,English name,Cornell index
Saxicola stejnegeri,검은딱새,Amur Stonechat,28689
Ixobrychus sinensis,덤불해오라기,Yellow Bittern,7133
Acrocephalus bistrigiceps,쇠개개비,Black-browed Reed Warbler,22813
Mareca penelope,홍머리오리,Eurasian Wigeon,454
Aythya fuligula,댕기흰죽지,Tufted Duck,609
Bucephala clangula,흰뺨오리,Common Goldeneye,663
Podiceps cristatus,뿔논병아리,Great Crested Grebe,1802
Lanius bucephalus,때까치,Bull-headed Shrike,20234
Mareca falcata,청머리오리,Falcated Duck,451
Carpodacus sibiricus,긴꼬리홍양진이,Long-tailed Rosefinch,31141
Antigone vipio,재두루미,White-naped Crane,5575
Chroicocephalus ridibundus,붉은부리갈매기,Black-headed Gull,6285
Buteo lagopus,털발말똥가리,Rough-legged Hawk,8114
Spatula clypeata,넓적부리오리,Northern Shoveler,443
Aythya nyroca,적갈색흰죽지,Ferruginous Duck,600
Mergellus albellus,흰비오리,Smew,671
Asio otus,칡부엉이,Long-eared Owl,8806
Mareca strepera,알락오리,Gadwall,447
Anas acuta,고방오리,Northern Pintail,526
Aythya ferina x nyroca,흰죽지 x 적갈색흰죽지 (교잡종),Common Pochard x Ferruginous Duck (hybrid,0
Podiceps nigricollis,검은목논병아리,Eared Grebe,1806
Larus crassirostris,괭이갈매기,Black-tailed Gull,6313
Sibirionetta formosa,가창오리,Baikal Teal,424
Emberiza cioides,멧새,Meadow Bunting,31645
Anser fabalis,큰부리큰기러기,Taiga Bean-Goose,268
Anas crecca,쇠오리 / 미국쇠오리,Green-winged Teal,541
Larus canus,갈매기,Common Gull,6318
Larus fuscus taimyrensis,검은등갈매기,Lesser Black-backed Gull (taimyrensis,0
